(PDH-CSV 4.0) (India Standard Time)(-330),\\WINDOWS10-SAMP\Processor(_Total)\% Processor Time,\\WINDOWS10-SAMP\System\Threads,\\WINDOWS10-SAMP\System\Context Switches/sec
52:46.0, ,1372, 
52:47.4,31.5494793,1385,1571.165962
52:48.9,37.40270159,1384,4191.168091
52:50.4,34.26497987,1384,1096.844964
52:51.9,33.59282435,1384,402.7086439
52:53.4,33.03602861,1384,221.5513742
52:54.9,38.12170516,1385,6235.995893
52:56.4,43.81984604,1397,5775.028713
52:57.9,35.66843107,1397,1840.383999
52:59.4,41.31636624,1398,6654.530565
53:00.9,33.91765082,1398,1212.457971
53:02.4,34.42517454,1398,952.6383081
53:03.9,34.63921922,1398,846.3052744
53:05.4,33.5439551,1398,979.9012572
53:06.9,40.88753248,1398,4652.272786
53:08.4,34.15894977,1395,2285.661883
53:09.9,33.17239339,1393,1054.359733
53:11.4,46.53478034,1422,7458.327071
53:12.9,37.46659465,1426,1903.90536
53:14.4,52.4650775,1413,10772.53004
53:15.9,47.60643646,1430,2414.084731
53:17.4,44.63258476,1431,2124.258411
53:18.9,43.5753207,1391,6285.808954
53:20.4,33.19359352,1396,1327.109548
53:21.9,36.33958113,1398,2256.004232
53:23.4,47.31316196,1439,9222.547235
53:24.9,35.6986878,1440,1573.377517
53:26.4,43.67994096,1442,7041.379114
53:27.9,35.7823717,1444,1842.895693
53:29.4,40.18861185,1446,5946.030463
53:30.9,38.48879656,1455,4698.522453
53:32.4,40.10564707,1456,6573.19637
53:33.7,30.2064383,1455,3398.144392
53:35.1,26.03479916,1454,559.0117605
53:36.5,26.15094354,1454,546.5383488
53:37.8,25.53250529,1446,278.1249581
53:39.2,27.3890373,1448,403.1109468
53:40.5,33.4269022,1446,10437.62353
53:41.9,29.89944779,1451,4604.701412
53:43.2,40.04441174,1462,1275.630335
53:44.6,39.03136349,1484,1199.58218
53:45.9,79.99401366,1551,6161.329406
53:47.1,52.04571841,1587,6192.003183
53:48.4,66.93659721,1587,3616.387958
53:49.6,67.28978634,1590,4105.401471
53:50.8,57.09884706,1588,4167.121116
53:52.0,40.74085372,1585,2873.126849
53:53.2,34.89674979,1584,3281.09858
53:54.4,49.43665694,1613,5113.923433
53:55.7,25.81390217,1588,3853.407566
53:56.8,21.71639835,1584,3237.088737
53:58.1,20.72416916,1584,3393.768857
53:59.2,14.887122,1585,3849.952791
54:00.3,30.71664826,1585,6458.320018
54:01.4,34.16936451,1584,7474.126557
54:02.5,32.23192532,1581,4683.006975
54:03.6,21.06381117,1583,2159.142363
54:04.6,26.59133348,1583,2237.832396
54:05.8,24.20875413,1582,2364.065726
54:06.8,26.08688083,1583,1548.78233
54:08.0,22.65978975,1541,2867.549377
54:09.0,22.8439391,1538,2649.370382
54:10.1,15.77875554,1537,2003.211293
54:11.0,13.57284122,1534,2784.303436
54:12.0,32.92815233,1530,3640.127882
54:13.0,36.09618863,1535,3216.745107
54:14.0,32.41393384,1534,4855.121803
54:15.0,10.30119479,1533,2311.434659
54:16.0,13.75831036,1528,3239.112291
54:16.9,10.26318985,1528,2181.746516
54:17.9,5.306351402,1529,1594.599311
54:18.9,2.172170632,1527,1055.574619
54:19.8,0,1526,1505.883023
54:20.7,0.719496364,1527,2083.633173
54:21.6,39.41834221,1524,4592.073795
54:22.5,8.637218128,1537,2378.672256
54:23.4,5.852838779,1524,2261.670865
54:24.3,0,1523,1922.310141
54:25.1, ,1521,636.7202387
54:26.0,0,1521,773.7798708
54:26.9, ,1523,268.3583225
54:27.8,16.15228375,1532,2530.954661
54:28.6,1.026972502,1517,3291.666504
54:29.4,54.16719603,1654,5179.509082
54:30.2,20.62921051,1653,7052.303958
