"(PDH-CSV 4.0) (India Standard Time)(-330)","\\WINDOWS10-SAMP\Processor(_Total)\% Processor Time","\\WINDOWS10-SAMP\System\Threads","\\WINDOWS10-SAMP\System\Context Switches/sec"
"08/07/2024 19:43:50.209","44.080104335018035044","1822","3424.9219473751259102"
"08/07/2024 19:43:51.304","52.000725392056587282","1819","4377.6844504127284381"
"08/07/2024 19:43:52.400","43.685617405912836375","1821","7085.1341509027397478"
"08/07/2024 19:43:53.486","39.053113531196984809","1821","10988.326445319878985"
"08/07/2024 19:43:54.598","34.458938937829451277","1812","11014.938905881028404"
"08/07/2024 19:43:55.706","36.193247774691059249","1807","12085.893768678435663"
"08/07/2024 19:43:56.836","45.39076609228776249","1807","9528.7193892682462319"
"08/07/2024 19:43:57.890","39.603643897587048173","1800","8485.5436633298268134"
"08/07/2024 19:43:58.984","31.974624747306968686","1787","10091.72330182285441"
"08/07/2024 19:43:59.951","56.157801588827794603","1787","4599.8973869044457388"
"08/07/2024 19:44:00.950","46.642884261563622772","1788","5297.0199858405812847"
"08/07/2024 19:44:01.949","26.836695233124473248","1778","5611.1336333122662836"
"08/07/2024 19:44:02.950","27.601836447616268089","1778","6580.2014897576182193"
"08/07/2024 19:44:03.964","28.962063026652561604","1779","8728.330946089081408"
"08/07/2024 19:44:04.953","29.499913045940051148","1779","9757.3502389292079897"
"08/07/2024 19:44:05.945","33.040051489774093341","1779","9328.6282669742849976"
"08/07/2024 19:44:06.941","59.991036988138816355","1805","8495.525117913934082"
"08/07/2024 19:44:07.947","43.52665277320436843","1818","9116.7915573997015599"
"08/07/2024 19:44:08.961","44.122675429103367151","1823","7145.2653442659875509"
"08/07/2024 19:44:09.949","47.046811756505626079","1824","3577.6651043756155559"
"08/07/2024 19:44:10.953","56.985920096623075892","1825","3352.877046670657819"
"08/07/2024 19:44:11.970","49.896483749953802089","1839","5559.4423005717699198"
"08/07/2024 19:44:12.953","41.951059189282837281","1837","10759.682466646767352"
"08/07/2024 19:44:13.984","38.640201412857088314","1842","10261.879716761255622"
"08/07/2024 19:44:14.959","31.902926914106501499","1841","11376.959004452955924"
"08/07/2024 19:44:15.941","33.52833981158488541","1845","8583.2256665552358754"
"08/07/2024 19:44:16.954","21.733861563368904513","1842","5473.1104264336590859"
"08/07/2024 19:44:17.953","26.302306550687227116","1820","8670.6128301040480437"
"08/07/2024 19:44:19.016","30.530399671565977116","1818","7987.7203760252232314"
"08/07/2024 19:44:20.113","40.377639291063601945","1822","7854.5379024218054838"
"08/07/2024 19:44:21.206","51.947979611827186375","1825","7963.6670891423736975"
"08/07/2024 19:44:22.286","44.103254134585142765","1826","8136.6824745857966263"
"08/07/2024 19:44:23.397","61.133991916342566242","1826","4931.1999812560788996"
"08/07/2024 19:44:24.483","49.675364113406672573","1826","7600.5605603655567393"
"08/07/2024 19:44:25.607","66.454350571090074595","1840","5787.6681467462867658"
"08/07/2024 19:44:26.696","65.386611146142001871","1840","4837.2278389889252139"
"08/07/2024 19:44:27.785","66.126974066020565601","1845","4287.990467120140238"
"08/07/2024 19:44:28.914","77.558016201140404178","1865","4643.0504105139625608"
"08/07/2024 19:44:29.948","68.074557843078736141","1855","5925.246007417274086"
"08/07/2024 19:44:30.944","68.603762605463728619","1869","6032.1890293352089429"
"08/07/2024 19:44:31.929","47.096381425573788704","1870","8557.9228039654917666"
"08/07/2024 19:44:32.926","34.530900183337301712","1866","9703.1468408559449017"
"08/07/2024 19:44:33.906","41.436295891893003329","1864","11023.618380754969621"
"08/07/2024 19:44:34.909","38.066375240342949837","1858","10122.114083432563348"
"08/07/2024 19:44:35.905","47.03064203726994208","1862","5484.3999235934879835"
"08/07/2024 19:44:36.895","47.355304780513506557","1864","7100.2496397328932289"
"08/07/2024 19:44:37.862","29.316423854248231606","1864","7340.9308775613235412"
"08/07/2024 19:44:38.888","33.327608193679424176","1868","4878.9619909706952967"
"08/07/2024 19:44:39.815","30.274211772197279657","1870","11417.809875307873881"
"08/07/2024 19:44:40.699","76.139460589769754506","1869","3275.6777266856770439"
"08/07/2024 19:44:41.593","54.351477756243440354","1868","4428.7733153621920792"
"08/07/2024 19:44:42.517","33.167190013252046299","1867","4251.977028652872832"
"08/07/2024 19:44:43.386","24.044289183752276529","1867","6990.0689311288915633"
"08/07/2024 19:44:44.261","16.745041979142250455","1867","11101.686953599182743"
"08/07/2024 19:44:45.152","14.064806219996340175","1866","5154.6866410940829155"
"08/07/2024 19:44:46.045","11.477187192176662833","1868","4239.585498986984021"
"08/07/2024 19:44:46.950","6.7322770323852036967","1868","2453.9547860311340628"
"08/07/2024 19:44:47.830","5.8613066638201978265","1864","1540.4934700587077714"
"08/07/2024 19:44:48.704","14.251689356050768254","1860","2041.4116327237602491"
"08/07/2024 19:44:49.519","23.51751458244259041","1857","2230.7626000202312753"
"08/07/2024 19:44:50.285","6.4931817215295399848","1854","2385.0837116178099677"
"08/07/2024 19:44:51.095","13.099927204774575173","1857","2615.5934600046298328"
"08/07/2024 19:44:51.901","13.022361297214747111","1821","2290.9668553652104492"
"08/07/2024 19:44:52.696","7.2208348350793816195","1821","3383.1855576401244434"
"08/07/2024 19:44:53.525","0.96793525094219790006","1819","2451.3894283013773929"
"08/07/2024 19:44:54.318","0.027710941346226203308","1810","2201.0746160231933573"
"08/07/2024 19:44:55.105","0","1811","1829.3461006446607371"
"08/07/2024 19:44:55.922","0","1794","2089.4080711827564301"
"08/07/2024 19:44:56.681","17.183091877519117929","1793","2932.4539096294734009"
"08/07/2024 19:44:57.400","3.0035332493944855159","1800","6620.679028878799727"
"08/07/2024 19:44:58.137","3.013440661443622659","1800","3660.1998644291998062"
"08/07/2024 19:44:58.857","0","1796","2441.2700112983975487"
"08/07/2024 19:44:59.574","10.028168400663284743","1798","2447.347068733319702"
"08/07/2024 19:45:00.300","12.381950633970284059","1798","4485.4292807946494577"
"08/07/2024 19:45:01.013","37.810525234981739118","1803","3608.5446704015862451"
"08/07/2024 19:45:01.732","41.28908911561293138","1803","3488.4343898401966726"
"08/07/2024 19:45:02.440","36.311713163517431724","1806","3920.5870512082128698"
"08/07/2024 19:45:03.177","6.9407033606971868522","1804","3902.1827927214990268"
"08/07/2024 19:45:03.870"," ","1807","5079.1499197416387688"
"08/07/2024 19:45:05.171"," ","1804","3007.1501401292925948"
"08/07/2024 19:45:05.809"," ","1803","3040.0194887145512439"
"08/07/2024 19:45:06.471"," ","1803","3287.3845513539727108"
"08/07/2024 19:45:07.119"," ","1801","2647.4718946426341972"
"08/07/2024 19:45:07.758"," ","1799","1829.9021652251362866"
"08/07/2024 19:45:08.415"," ","1800","3147.940617248196304"
"08/07/2024 19:45:09.071","14.863262266890631125","1801","2326.0763247875343041"
"08/07/2024 19:45:09.720","0","1799","1894.3062964464531888"
"08/07/2024 19:45:10.399","14.282899280000227904","1811","3919.0992149764060741"
"08/07/2024 19:45:11.125","0","1827","7090.3610918209642477"
"08/07/2024 19:45:11.809","14.128115480031366857","1854","9327.5028668369814113"
"08/07/2024 19:45:12.534","0","1835","5571.2351386858626938"
"08/07/2024 19:45:13.249"," ","1834","2642.7129909860227599"
"08/07/2024 19:45:13.956","0","1845","6715.4185504619999847"
"08/07/2024 19:45:14.679","0","1839","2803.1126936515888701"
"08/07/2024 19:45:15.377","0","1841","2304.0391216438615629"
"08/07/2024 19:45:16.109"," ","1841","1922.5162201437576641"
"08/07/2024 19:45:16.821","0","1844","2267.1599850112156673"
"08/07/2024 19:45:17.569","15.746046059655483873","1842","3811.2038557680489248"
"08/07/2024 19:45:18.354","28.81994083552773489","1854","3934.9512202254686599"
"08/07/2024 19:45:19.135","24.688169629674895589","1845","4827.1613115723930605"
"08/07/2024 19:45:19.930","36.12285594498801089","1858","8773.4239966721634119"
"08/07/2024 19:45:20.701","30.636894082733935107","1858","7162.873042122580955"
"08/07/2024 19:45:21.507","8.6050243100364696147","1845","6213.8098997662118563"
"08/07/2024 19:45:22.270"," ","1836","3945.3547729249203257"
"08/07/2024 19:45:23.046","0","1837","3221.427208422703643"
"08/07/2024 19:45:23.863","15.081373072776859345","1848","4090.946517711785873"
"08/07/2024 19:45:24.622","15.688544104844293514","1847","1959.9418666876274528"
"08/07/2024 19:45:25.458","3.1904189615122091617","1847","1710.2263104743863096"
"08/07/2024 19:45:26.294","1.4689306060383322539","1847","1283.8937084866615805"
"08/07/2024 19:45:27.160","4.1694378911871332605","1847","1216.5757295437381345"
"08/07/2024 19:45:28.074","1.2594905792350119533","1848","2885.3762792135107702"
"08/07/2024 19:45:28.889","8.1659195385012992574","1848","2498.3252473970678693"
"08/07/2024 19:45:29.762","6.4605859413087056708","1848","1813.4347777500931898"
"08/07/2024 19:45:30.631","2.9658690566522927234","1846","2311.5335460807700656"
"08/07/2024 19:45:31.484","0.80159570786957345945","1847","1822.2464334481119295"
"08/07/2024 19:45:32.345","3.8650627092912004379","1852","2041.3159529093486526"
"08/07/2024 19:45:33.213","20.573131201722137718","1853","2676.689667760586417"
"08/07/2024 19:45:34.145","49.044933512255873609","1852","2468.1428877886901319"
"08/07/2024 19:45:35.066","33.678457826515248996","1846","4028.8270700750977085"
"08/07/2024 19:45:36.021","31.081305352879962101","1835","6950.5609047764182833"
"08/07/2024 19:45:36.981","14.126861384411782296","1834","3483.5840681843483253"
"08/07/2024 19:45:37.935","17.482797240010228279","1834","2889.3065852327122229"
"08/07/2024 19:45:38.869","16.345164402498348011","1833","4328.7847275063832058"
"08/07/2024 19:45:39.822","13.708126278743126392","1836","4375.988604113389556"
"08/07/2024 19:45:40.780","13.606696264773454175","1835","2883.3417811933336452"
"08/07/2024 19:45:41.718","10.683537103790330391","1835","2181.6591467074449611"
"08/07/2024 19:45:42.680","23.431850448342807169","1838","2369.2845828072372569"
"08/07/2024 19:45:43.675","18.318731068166815845","1840","1143.5937339351721675"
"08/07/2024 19:45:44.691","33.131300292025912313","1827","3463.6223385820899239"
"08/07/2024 19:45:45.756","24.211922687659516384","1811","4780.1741954327953863"
"08/07/2024 19:45:46.784","42.474399608536074879","1800","5261.9499443016993609"
"08/07/2024 19:45:47.835","21.740803447012659433","1799","1060.5538476585466015"
"08/07/2024 19:45:48.897","23.497053718532811217","1800","3391.7282613910297187"
"08/07/2024 19:45:49.928","17.222882842988497032","1799","2576.3873439316525946"
"08/07/2024 19:45:50.974","20.785789661771946868","1800","1673.9928451564624083"
"08/07/2024 19:45:52.010","20.250521497472394827","1801","1952.58445433353927"
"08/07/2024 19:45:53.068","19.152519178706974401","1800","3410.1959030639222874"
"08/07/2024 19:45:54.150","32.676973291766763907","1794","3181.4628625546210969"
"08/07/2024 19:45:55.294","48.767087474227800215","1796","2278.4132732672296697"
"08/07/2024 19:45:56.437","31.703310262966510891","1800","3991.6521833306951521"
"08/07/2024 19:45:57.597","32.095445178014614385","1798","4691.3873415429179659"
"08/07/2024 19:45:58.748","27.913321754233610505","1784","2315.6258676019692757"
"08/07/2024 19:45:59.889","28.26888022727902694","1782","2437.6163453548815596"
"08/07/2024 19:46:01.064","37.524485084781666444","1783","4205.1921911140661905"
"08/07/2024 19:46:02.221","44.444882491215800258","1778","1843.7081277064578444"
"08/07/2024 19:46:03.342","33.462034517982338855","1775","1213.6999235544051317"
"08/07/2024 19:46:04.492","27.46541322700758414","1768","821.14444959796389867"
"08/07/2024 19:46:05.711","42.301173227941326616","1767","2180.2556623496643624"
"08/07/2024 19:46:06.970","33.481645761457535571","1767","1303.6426757281230948"
"08/07/2024 19:46:08.275","35.78396253340360289","1766","1286.7949585115052287"
"08/07/2024 19:46:09.511","36.289788559252578182","1769","961.79145039176080445"
"08/07/2024 19:46:10.737","30.905626489789405298","1769","962.54212026420998427"
"08/07/2024 19:46:12.024","35.310022440824305079","1771","1422.5598527065601502"
