(PDH-CSV 4.0) (India Standard Time)(-330),\\WINDOWS10-SAMP\Processor(_Total)\% Processor Time,\\WINDOWS10-SAMP\System\Threads,\\WINDOWS10-SAMP\System\Context Switches/sec
44:47.8,5.861306664,1864,1540.49347
44:48.7,14.25168936,1860,2041.411633
44:49.5,23.51751458,1857,2230.7626
44:50.3,6.493181722,1854,2385.083712
44:51.1,13.0999272,1857,2615.59346
44:51.9,13.0223613,1821,2290.966855
44:52.7,7.220834835,1821,3383.185558
44:53.5,0.967935251,1819,2451.389428
44:54.3,0.027710941,1810,2201.074616
44:55.1,0,1811,1829.346101
44:55.9,0,1794,2089.408071
44:56.7,17.18309188,1793,2932.45391
44:57.4,3.003533249,1800,6620.679029
44:58.1,3.013440661,1800,3660.199864
44:58.9,0,1796,2441.270011
44:59.6,10.0281684,1798,2447.347069
45:00.3,12.38195063,1798,4485.429281
45:01.0,37.81052523,1803,3608.54467
45:01.7,41.28908912,1803,3488.43439
45:02.4,36.31171316,1806,3920.587051
45:03.2,6.940703361,1804,3902.182793
45:03.9, ,1807,5079.14992
45:05.2, ,1804,3007.15014
45:05.8, ,1803,3040.019489
45:06.5, ,1803,3287.384551
45:07.1, ,1801,2647.471895
45:07.8, ,1799,1829.902165
45:08.4, ,1800,3147.940617
45:09.1,14.86326227,1801,2326.076325
45:09.7,0,1799,1894.306296
45:10.4,14.28289928,1811,3919.099215
45:11.1,0,1827,7090.361092
45:11.8,14.12811548,1854,9327.502867
45:12.5,0,1835,5571.235139
45:13.2, ,1834,2642.712991
45:14.0,0,1845,6715.41855
45:14.7,0,1839,2803.112694
45:15.4,0,1841,2304.039122
45:16.1, ,1841,1922.51622
45:16.8,0,1844,2267.159985
45:17.6,15.74604606,1842,3811.203856
45:18.4,28.81994084,1854,3934.95122
45:19.1,24.68816963,1845,4827.161312
45:19.9,36.12285594,1858,8773.423997
45:20.7,30.63689408,1858,7162.873042
45:21.5,8.60502431,1845,6213.8099
45:22.3, ,1836,3945.354773
45:23.0,0,1837,3221.427208
45:23.9,15.08137307,1848,4090.946518
45:24.6,15.6885441,1847,1959.941867
45:25.5,3.190418962,1847,1710.22631
45:26.3,1.468930606,1847,1283.893708
45:27.2,4.169437891,1847,1216.57573
45:28.1,1.259490579,1848,2885.376279
45:28.9,8.165919539,1848,2498.325247
45:29.8,6.460585941,1848,1813.434778
45:30.6,2.965869057,1846,2311.533546
45:31.5,0.801595708,1847,1822.246433
45:32.3,3.865062709,1852,2041.315953
45:33.2,20.5731312,1853,2676.689668
45:34.1,49.04493351,1852,2468.142888
45:35.1,33.67845783,1846,4028.82707
45:36.0,31.08130535,1835,6950.560905
45:37.0,14.12686138,1834,3483.584068
45:37.9,17.48279724,1834,2889.306585
45:38.9,16.3451644,1833,4328.784728
45:39.8,13.70812628,1836,4375.988604
45:40.8,13.60669626,1835,2883.341781
45:41.7,10.6835371,1835,2181.659147
45:42.7,23.43185045,1838,2369.284583
45:43.7,18.31873107,1840,1143.593734
45:44.7,33.13130029,1827,3463.622339
45:45.8,24.21192269,1811,4780.174195
45:46.8,42.47439961,1800,5261.949944
45:47.8,21.74080345,1799,1060.553848
45:48.9,23.49705372,1800,3391.728261
45:49.9,17.22288284,1799,2576.387344
45:51.0,20.78578966,1800,1673.992845
45:52.0,20.2505215,1801,1952.584454
45:53.1,19.15251918,1800,3410.195903
45:54.2,32.67697329,1794,3181.462863
45:55.3,48.76708747,1796,2278.413273
45:56.4,31.70331026,1800,3991.652183
45:57.6,32.09544518,1798,4691.387342
45:58.7,27.91332175,1784,2315.625868
45:59.9,28.26888023,1782,2437.616345
46:01.1,37.52448508,1783,4205.192191
46:02.2,44.44488249,1778,1843.708128
46:03.3,33.46203452,1775,1213.699924
46:04.5,27.46541323,1768,821.1444496
46:05.7,42.30117323,1767,2180.255662
46:07.0,33.48164576,1767,1303.642676
46:08.3,35.78396253,1766,1286.794959
46:09.5,36.28978856,1769,961.7914504
46:10.7,30.90562649,1769,962.5421203
46:12.0,35.31002244,1771,1422.559853
46:13.3,32.53654158,1771,1492.032586
46:14.6,36.45056878,1761,905.9587707
46:15.8,32.57721414,1762,1489.212409
46:17.1,34.14190281,1756,1451.314073
46:18.4,35.04116443,1753,1176.309395
46:19.8,40.95843573,1751,1280.737578
46:21.2,38.41043062,1750,1227.707715
46:22.6,43.67331341,1745,1789.11739
46:24.0,47.20643192,1745,2433.330933
46:25.4,50.34611696,1744,2332.202337
46:26.7,43.60063961,1744,4386.002744
46:28.1,41.63444171,1744,4474.546517
46:29.5,40.60065415,1744,4110.801795
46:30.9,39.02180366,1745,2548.619706
46:33.6,35.53943404,1745,1983.535326
46:34.8,31.73968141,1745,1597.236555
46:36.0,32.80027095,1745,2182.687155
46:37.3,34.1153937,1744,1174.232377
46:38.5,35.26278648,1742,1213.059953
46:39.8,35.93030251,1741,1809.869588
46:41.0,29.52235791,1743,2175.615007
46:42.3,34.95624614,1741,2116.375706
46:43.6,39.20431963,1742,2198.361003
46:44.8,34.0102352,1741,1130.199028
46:45.9,24.96960912,1739,514.5964841
46:47.0,25.36675376,1739,514.8987898
46:48.2,29.42509353,1733,713.7038547
46:49.3,45.67259416,1733,2131.389454
46:50.4,51.47926207,1736,4017.003809
46:51.6,49.79405816,1769,5155.662134
46:52.7,43.29484631,1793,4056.429396
46:53.8,44.08413544,1809,7523.620873
46:55.0,70.85697307,1828,4477.969878
46:56.0,59.0494603,1828,4247.006564
46:57.1,38.78093546,1836,4942.599867
46:58.1,45.80947973,1835,8820.698263
46:59.1,23.26196384,1795,4886.442888
47:00.1,17.87836082,1798,2566.575665
47:01.1,15.25208804,1796,3224.226855
47:02.1,17.32726172,1796,920.9370079
47:03.1,16.21878407,1788,1599.975581
47:04.2,17.50199462,1762,2150.031594
47:05.2,19.90735878,1747,3733.110757
47:06.2,49.01336604,1746,2123.365955
47:07.1,37.15933566,1746,3437.463862
47:08.0,8.956001223,1746,1643.412674
47:08.9,8.588076116,1749,1820.022445
47:09.8,15.87813374,1749,2089.429881
47:10.7,14.07439564,1751,1684.637951
47:11.7,9.213094536,1752,913.9611422
47:12.6,15.99402513,1740,2147.060103
47:13.5,13.09620204,1744,1552.543777
47:14.4,22.70432159,1744,2089.381521
47:15.3,22.14662093,1744,3536.01765
47:16.1,9.462057473,1746,1821.417529
47:16.9,2.327654257,1744,2612.028696
47:17.8,12.19566754,1767,4852.577989
47:18.6,3.774477854,1747,3168.968873
47:19.4,33.51938816,1744,3822.605145
47:20.2,10.04778262,1743,3388.251281
47:21.0,20.06443438,1744,6903.98426
47:21.9,30.96241381,1744,2969.287157
47:22.7,11.82291257,1740,3625.228497
47:23.5,0.172925115,1741,3328.048529
47:24.3, ,1740,1874.574148
47:25.0,21.16168398,1749,6706.03514
47:25.8,21.47777146,1768,6394.492662
47:26.5,3.165065291,1736,3224.483764
47:27.2, ,1735,619.5665676
47:28.0,5.569190817,1735,990.2678461
47:28.7,1.498737817,1735,1371.549115
47:29.4,0,1738,2003.210166
47:30.2,1.474532311,1738,1314.82301
