"(PDH-CSV 4.0) (India Standard Time)(-330)","\\WINDOWS10-SAMP\Processor(_Total)\% Processor Time","\\WINDOWS10-SAMP\System\Threads","\\WINDOWS10-SAMP\System\Context Switches/sec"
"07/28/2024 00:44:59.046"," ","1110"," "
"07/28/2024 00:44:59.625"," ","1113","324.87058820226445732"
"07/28/2024 00:45:00.215"," ","1131","5217.4485513646677646"
"07/28/2024 00:45:00.786"," ","1131","230.67928851597204698"
"07/28/2024 00:45:01.367"," ","1131","1170.9677005402493251"
"07/28/2024 00:45:01.946"," ","1135","1714.2066963722186301"
"07/28/2024 00:45:02.527"," ","1138","5581.9566870522776298"
"07/28/2024 00:45:03.117"," ","1139","2416.4255568326666435"
"07/28/2024 00:45:03.634"," ","1137","1195.7329762077511077"
"07/28/2024 00:45:04.162"," ","1135","1376.2965757144966119"
"07/28/2024 00:45:04.678"," ","1143","2111.0814317370413846"
"07/28/2024 00:45:05.207"," ","1146","1629.9246248873862442"
"07/28/2024 00:45:05.731"," ","1146","652.45370051655754651"
"07/28/2024 00:45:06.253"," ","1203","5194.8523391395874569"
"07/28/2024 00:45:06.776","39.892938039395588135","1258","6641.6679847771565619"
"07/28/2024 00:45:07.313","0.40789209227539702241","1294","10784.967032548527641"
"07/28/2024 00:45:07.815"," ","1352","13943.100142506455086"
"07/28/2024 00:45:08.340"," ","1410","9914.6759200999586028"
"07/28/2024 00:45:08.842","10.929349373788955546","1429","5904.2669717888775267"
"07/28/2024 00:45:09.344"," ","1416","7361.8859182707092259"
"07/28/2024 00:45:09.845","14.247639346650586845","1441","4408.6213662643804128"
"07/28/2024 00:45:10.340","7.7178159655821083618","1419","6718.8918029721498897"
"07/28/2024 00:45:10.848","62.321280405042955408","1455","4288.8216743441507788"
"07/28/2024 00:45:11.341","37.461852686265991963","1462","4526.6893788180323099"
"07/28/2024 00:45:11.840"," ","1467","4959.7879971525362635"
"07/28/2024 00:45:12.340","18.43096498512905157","1481","3893.2830826410022382"
"07/28/2024 00:45:12.841"," ","1491","4800.5829065065736359"
"07/28/2024 00:45:13.350","1.6101886191718040031","1514","5339.609264737669946"
"07/28/2024 00:45:13.896","13.496221446721412107","1520","4589.4991898026801209"
"07/28/2024 00:45:14.433","57.115152985721032053","1531","3593.3867787887802479"
"07/28/2024 00:45:14.982"," ","1532","6371.3578503907428967"
"07/28/2024 00:45:15.536","12.523777730301077327","1538","5500.5582279109194133"
"07/28/2024 00:45:16.097","21.312395669997385994","1541","4602.7936307542777286"
"07/28/2024 00:45:16.644","31.440907364050975303","1541","5762.0774681761331522"
"07/28/2024 00:45:17.187","17.24553693473428595","1543","6164.0371707049116594"
"07/28/2024 00:45:17.751","0","1547","5728.29099249670071"
"07/28/2024 00:45:18.291","0","1562","5356.2809151559386009"
"07/28/2024 00:45:18.838","5.1751198107485745226","1572","6317.3561919461981233"
"07/28/2024 00:45:19.440","5.1485748565576194835","1575","7901.6543325519432983"
"07/28/2024 00:45:20.042","14.339725202669095339","1579","7480.1536334750835522"
"07/28/2024 00:45:20.655","5.0277591215768584476","1590","4493.5070888320515223"
"07/28/2024 00:45:21.255","8.3130354415174352312","1585","5067.715848692223517"
"07/28/2024 00:45:21.871","11.114524313377483367","1583","4690.1440405991697844"
"07/28/2024 00:45:22.473","7.8972843117329549756","1571","6037.9024129318031555"
"07/28/2024 00:45:23.068","4.530794293678141571","1576","9161.0295011998423433"
"07/28/2024 00:45:23.684","2.0073283958860099752","1563","10075.151537905154328"
"07/28/2024 00:45:24.278"," ","1552","7861.8444351734069642"
"07/28/2024 00:45:24.891","7.8458362121997744509","1588","6176.1104185246249472"
"07/28/2024 00:45:25.537","1.5352896720883246751","1537","7473.2606671887087941"
"07/28/2024 00:45:26.205","34.169941169059889319","1560","6812.3211492131113118"
"07/28/2024 00:45:26.871","8.5752684905253566683","1542","7234.5079030352044356"
"07/28/2024 00:45:27.536","18.92814377201206355","1534","4533.99814666211023"
