(PDH-CSV 4.0) (India Standard Time)(-330),\\WINDOWS10-SAMP\Processor(_Total)\% Processor Time,\\WINDOWS10-SAMP\System\Threads,\\WINDOWS10-SAMP\System\Context Switches/sec
44:59.0, ,1110, 
44:59.6, ,1113,324.8705882
45:00.2, ,1131,5217.448551
45:00.8, ,1131,230.6792885
45:01.4, ,1131,1170.967701
45:01.9, ,1135,1714.206696
45:02.5, ,1138,5581.956687
45:03.1, ,1139,2416.425557
45:03.6, ,1137,1195.732976
45:04.2, ,1135,1376.296576
45:04.7, ,1143,2111.081432
45:05.2, ,1146,1629.924625
45:05.7, ,1146,652.4537005
45:06.3, ,1203,5194.852339
45:06.8,39.89293804,1258,6641.667985
45:07.3,0.407892092,1294,10784.96703
45:07.8, ,1352,13943.10014
45:08.3, ,1410,9914.67592
45:08.8,10.92934937,1429,5904.266972
45:09.3, ,1416,7361.885918
45:09.8,14.24763935,1441,4408.621366
45:10.3,7.717815966,1419,6718.891803
45:10.8,62.32128041,1455,4288.821674
45:11.3,37.46185269,1462,4526.689379
45:11.8, ,1467,4959.787997
45:12.3,18.43096499,1481,3893.283083
45:12.8, ,1491,4800.582907
45:13.3,1.610188619,1514,5339.609265
45:13.9,13.49622145,1520,4589.49919
45:14.4,57.11515299,1531,3593.386779
45:15.0, ,1532,6371.35785
45:15.5,12.52377773,1538,5500.558228
45:16.1,21.31239567,1541,4602.793631
45:16.6,31.44090736,1541,5762.077468
45:17.2,17.24553693,1543,6164.037171
45:17.8,0,1547,5728.290992
45:18.3,0,1562,5356.280915
45:18.8,5.175119811,1572,6317.356192
45:19.4,5.148574857,1575,7901.654333
45:20.0,14.3397252,1579,7480.153633
45:20.7,5.027759122,1590,4493.507089
45:21.3,8.313035442,1585,5067.715849
45:21.9,11.11452431,1583,4690.144041
45:22.5,7.897284312,1571,6037.902413
45:23.1,4.530794294,1576,9161.029501
45:23.7,2.007328396,1563,10075.15154
45:24.3, ,1552,7861.844435
45:24.9,7.845836212,1588,6176.110419
45:25.5,1.535289672,1537,7473.260667
45:26.2,34.16994117,1560,6812.321149
45:26.9,8.575268491,1542,7234.507903
45:27.5,18.92814377,1534,4533.998147
45:28.2,23.3915295,1542,4759.053501
45:28.9,15.61784017,1540,6944.52252
45:29.5,33.96211166,1519,6046.615143
45:30.2,57.67118433,1499,3456.385157
45:30.9,31.18138832,1499,4224.502963
45:31.5,6.203668447,1497,5434.140042
45:32.3,41.1211823,1497,3726.313351
45:33.0,42.53850346,1491,3503.727585
45:33.7,69.28887988,1486,4249.517611
45:34.5,55.66339719,1485,3374.328005
45:35.2,62.59656196,1493,3325.089676
45:35.9,31.19314151,1493,4293.327714
45:36.7,59.24804085,1483,4362.451669
45:37.4,70.41189015,1446,3861.886466
45:38.1,34.61941164,1436,4658.737307
45:38.8,50.68783452,1436,5390.781773
45:39.6,38.45742085,1436,5972.239693
45:40.4,30.9356876,1435,5093.277796
45:41.3,20.08148302,1432,5375.971403
